iter	RMSE
0	0.375647376
1	0.3734131641
2	0.3714118846
3	0.3691921458
4	0.3671463995
5	0.3650602793
6	0.3629836878
7	0.3608832976
8	0.3589339089
9	0.3568295272
10	0.3548407973
11	0.3528517088
12	0.3509067564
13	0.3490761898
14	0.3471145907
15	0.345255582
16	0.343471412
17	0.3417061237
18	0.3399583315
19	0.3382254269
20	0.3364275124
21	0.3347661765
22	0.3329568943
23	0.3313530792
24	0.3295572409
25	0.3278237318
26	0.3260101208
27	0.3242781785
28	0.3226375713
29	0.3209173503
30	0.3193264306
31	0.3177674564
32	0.3162522793
33	0.3147348129
34	0.3131811407
35	0.311601406
36	0.3101984091
37	0.3087368425
38	0.3074395662
39	0.3059318678
40	0.3046580323
41	0.3032122567
42	0.3018527564
43	0.3004144683
44	0.2989621799
45	0.297688548
46	0.2964869734
47	0.2949770964
48	0.2935548104
49	0.2921111144
50	0.2907518546
51	0.2893748678
52	0.2880147723
53	0.2868137931
54	0.2854072516
55	0.2841391364
56	0.2828608135
57	0.2816777875
58	0.2803723648
59	0.2792183446
60	0.277951407
61	0.2767139669
62	0.2755455542
63	0.2742959069
64	0.2731590215
65	0.2720686092
66	0.270857601
67	0.2697715789
68	0.2687094136
69	0.2676119159
70	0.2665048481
71	0.265473328
72	0.2644255186
73	0.2634091461
74	0.2623447822
75	0.2613078496
76	0.2603380148
77	0.2593571095
78	0.2582474573
79	0.257163335
80	0.2560324237
81	0.2550712651
82	0.2540329451
83	0.2531055939
84	0.2521707802
85	0.2512556522
86	0.2502429637
87	0.2492686708
88	0.2483531777
89	0.2475054806
90	0.2465793527
91	0.2456346512
92	0.2447611675
93	0.2438571732
94	0.2428752862
95	0.2421509937
96	0.2412609015
97	0.2404178612
98	0.2396542421
99	0.2387273115
100	0.237848758
101	0.237047809
102	0.236268971
103	0.2353707793
104	0.2345600007
105	0.2337924213
106	0.2330129696
107	0.2322088206
108	0.2314733625
109	0.23067475
110	0.2298342219
111	0.2291422175
112	0.2283858846
113	0.2277416658
114	0.2270269021
115	0.2263273327
116	0.2256523756
117	0.2248976471
118	0.2240901259
119	0.2234452901
120	0.2226985349
121	0.2219784953
122	0.2213084425
123	0.2206757224
124	0.220035262
125	0.2194122452
126	0.2188005875
127	0.2181745672
128	0.2175639413
129	0.2168833985
130	0.216205447
131	0.2156428456
132	0.2149150116
133	0.2143070309
134	0.2136882751
135	0.2130825698
136	0.2124553132
137	0.2118312282
138	0.2111771869
139	0.2106497218
140	0.2100918171
141	0.2094174171
142	0.2088459778
143	0.2082981541
144	0.2077540328
