iter	Passed	Remaining
0	1	2307
1	11	8288
2	11	5775
3	11	4471
4	12	3774
5	12	3234
6	14	3018
7	14	2717
8	15	2493
9	15	2292
10	16	2227
11	16	2103
12	23	2742
13	24	2626
14	25	2492
15	25	2388
16	26	2286
17	26	2191
18	27	2119
19	27	2051
20	28	1989
21	30	2018
22	30	1957
23	30	1897
24	31	1845
25	31	1800
26	32	1752
27	32	1708
28	32	1668
29	33	1631
30	33	1595
31	34	1561
32	34	1527
33	34	1496
34	35	1474
35	35	1448
36	36	1427
37	36	1406
38	36	1385
39	37	1365
40	37	1344
41	38	1330
42	38	1313
43	39	1293
44	39	1276
45	39	1260
46	40	1244
47	40	1229
48	41	1215
49	41	1200
50	41	1186
51	42	1172
52	42	1159
53	42	1148
54	43	1152
55	46	1202
56	47	1191
57	47	1179
58	47	1170
59	48	1160
60	48	1149
61	49	1138
62	49	1126
63	49	1116
64	50	1104
65	50	1095
66	50	1086
67	51	1080
68	51	1073
69	52	1067
70	52	1060
71	53	1054
72	53	1047
73	53	1039
74	54	1032
75	54	1026
76	55	1019
77	55	1011
78	55	1005
79	56	998
80	56	992
81	57	985
82	57	979
83	57	973
84	58	969
85	58	963
86	59	958
87	59	954
88	59	949
89	60	944
90	60	939
91	60	933
92	61	928
93	61	925
94	62	921
95	62	915
96	63	911
97	63	907
98	63	903
99	64	899
100	64	895
101	65	890
102	65	886
103	65	883
104	66	884
105	67	883
106	67	879
107	67	876
108	68	873
109	68	871
110	69	867
111	69	865
112	70	864
113	70	860
114	71	857
115	71	854
116	71	850
117	72	847
118	72	844
119	73	843
120	73	841
121	74	838
122	74	835
123	75	833
124	75	830
125	75	827
126	76	824
127	76	821
128	76	817
129	77	815
130	77	812
131	78	809
132	78	806
133	78	803
134	79	801
135	79	799
136	80	796
137	80	793
138	81	793
139	81	792
140	82	790
141	82	789
142	82	787
143	83	785
144	83	784
145	84	782
146	84	780
147	85	784
148	86	782
149	86	780
150	87	778
151	87	776
152	87	774
153	88	773
154	88	771
155	89	773
156	90	775
157	91	775
158	91	772
159	92	771
160	92	769
161	92	767
162	93	765
163	93	762
164	94	760
165	94	758
166	95	759
167	95	760
168	96	760
169	97	765
170	98	765
171	99	764
172	100	768
173	100	767
174	101	768
175	102	768
176	102	767
177	103	766
178	103	764
179	106	782
180	107	785
181	108	785
182	109	785
183	110	787
184	110	786
185	111	786
186	111	785
187	112	785
188	113	784
189	113	784
190	114	784
191	115	783
192	115	783
193	116	782
194	116	781
195	117	780
196	117	779
197	119	785
198	121	795
199	122	794
200	122	793
201	123	792
202	123	791
203	124	790
204	125	790
205	125	790
206	126	789
207	127	789
208	127	788
209	128	787
210	128	787
211	129	786
212	129	784
213	130	784
214	131	783
215	131	781
216	132	780
217	132	781
218	133	781
219	134	781
220	138	799
221	139	801
222	149	858
223	151	861
224	152	862
225	156	879
226	156	879
227	157	880
228	158	880
229	159	879
230	159	877
231	160	876
232	163	888
233	172	935
234	174	939
235	175	939
236	176	938
237	176	938
238	177	937
239	178	936
240	179	935
241	179	933
242	180	932
243	180	931
244	181	930
245	182	928
246	182	927
247	183	926
248	184	925
249	184	924
250	186	928
251	187	928
252	188	928
253	189	927
254	189	926
255	190	925
256	191	924
257	191	923
258	192	923
259	193	923
260	194	922
261	195	921
262	196	923
263	196	922
264	198	923
265	198	922
266	199	920
267	200	920
268	201	921
269	201	919
270	202	918
271	203	917
272	204	917
273	204	916
274	205	916
275	208	924
276	209	924
277	210	923
278	211	924
279	212	924
280	213	924
281	213	922
282	214	921
283	214	919
284	215	918
285	216	919
286	218	924
287	219	924
288	220	924
289	221	922
290	221	921
291	233	967
292	234	967
293	235	965
294	235	963
295	236	961
296	236	959
297	237	958
298	243	977
299	244	978
300	245	976
301	245	975
302	246	973
303	247	971
304	247	970
305	248	968
306	248	966
307	249	965
308	250	965
309	250	963
310	251	961
311	251	958
312	252	956
313	252	954
314	253	952
315	253	950
316	254	950
317	255	948
318	255	946
319	256	945
320	257	945
321	258	943
322	258	942
323	259	942
324	260	940
325	261	940
326	261	938
327	262	937
328	262	935
329	263	934
330	265	935
331	265	934
332	266	932
333	266	930
334	267	930
335	268	928
336	268	926
337	269	927
338	270	925
339	270	923
340	271	921
341	271	919
342	272	918
343	273	917
344	273	916
345	274	915
346	275	915
347	276	914
348	276	913
349	277	913
350	278	912
351	279	910
352	279	908
353	280	907
354	280	905
355	281	903
356	281	901
357	281	899
358	291	925
359	292	925
360	292	923
361	293	922
362	294	922
363	295	920
364	295	919
365	296	917
366	296	915
367	297	914
368	297	912
369	299	913
370	302	919
371	302	917
372	303	916
373	304	915
374	305	916
375	305	914
376	306	912
377	307	911
378	307	910
379	308	909
380	312	917
381	313	916
382	313	914
383	314	913
384	315	912
385	315	910
386	316	909
387	316	907
388	317	905
389	317	904
390	318	902
391	318	900
392	319	898
393	319	897
394	320	895
395	320	894
396	321	892
397	321	890
398	322	889
399	322	887
400	323	886
401	323	884
402	324	883
403	325	882
404	326	881
405	326	879
406	327	878
407	327	876
408	333	889
409	334	888
410	335	888
411	336	888
412	337	887
413	337	885
414	338	884
415	338	883
416	340	883
417	340	882
418	342	883
419	343	882
420	343	880
421	344	880
422	345	879
423	346	879
424	347	879
425	348	877
426	348	875
427	348	873
428	351	876
429	351	875
430	352	873
431	352	871
432	353	870
433	353	868
434	354	867
435	355	866
436	355	865
437	356	864
438	356	862
439	357	860
440	357	858
441	358	857
442	363	866
443	363	865
444	364	864
445	365	862
446	365	861
447	366	859
448	366	858
449	367	856
450	368	857
451	369	857
452	370	856
453	370	854
454	371	853
455	372	852
456	373	851
457	374	851
458	374	849
459	375	849
460	376	847
461	376	846
462	377	845
463	378	845
464	378	843
465	379	842
466	380	840
467	380	839
468	381	837
469	381	836
470	382	834
471	382	833
472	383	832
473	384	831
474	384	829
475	385	828
476	385	827
477	386	826
478	386	824
479	390	828
480	391	828
481	391	827
482	392	826
483	392	824
484	393	823
485	394	822
486	394	821
487	395	819
488	396	818
489	396	817
490	397	816
491	398	815
492	398	813
493	398	812
494	399	811
495	400	809
496	400	808
497	401	807
498	401	806
499	402	805
500	403	804
501	404	803
502	405	803
503	406	803
504	407	802
505	409	804
506	410	803
507	410	802
508	412	803
509	413	802
510	413	801
511	414	799
512	415	798
513	415	797
514	416	795
515	416	794
516	417	794
517	418	793
518	418	791
519	419	790
520	420	790
521	421	788
522	422	788
523	422	787
524	423	785
525	423	784
526	424	782
527	424	782
528	425	780
529	426	780
530	426	779
531	427	777
532	429	778
533	433	784
534	434	783
535	435	782
536	444	797
537	445	796
538	446	795
539	446	794
540	447	793
541	448	792
542	449	791
543	449	790
544	450	789
545	451	788
546	451	786
547	452	785
548	452	784
549	453	783
550	454	782
551	456	783
552	460	788
553	461	788
554	462	786
555	462	785
556	463	784
557	463	782
558	464	781
559	464	780
560	465	778
561	465	777
562	466	776
563	466	774
564	467	773
565	468	772
566	473	778
567	478	785
568	479	784
569	479	782
570	480	781
571	480	780
572	482	779
573	482	779
574	483	778
575	488	783
576	489	782
577	490	783
578	492	782
579	492	781
580	493	780
581	493	778
582	494	777
583	494	775
584	495	774
585	495	773
586	496	772
587	496	770
588	497	769
589	498	768
590	498	767
591	499	766
592	500	765
593	500	764
594	501	762
595	501	761
596	502	759
597	502	758
598	504	758
599	505	758
600	506	757
601	507	757
602	508	756
603	513	761
604	513	760
605	514	758
606	517	761
607	518	760
608	518	758
609	519	757
610	520	756
611	521	756
612	522	755
613	523	754
614	523	753
615	524	752
616	526	753
617	527	752
618	528	751
619	528	750
620	529	749
621	530	748
622	530	747
623	531	745
624	531	744
625	532	743
626	533	742
627	534	741
628	534	740
629	535	739
630	535	737
631	536	736
632	536	735
633	537	733
634	537	732
635	538	731
636	538	730
637	539	728
638	542	730
639	543	729
640	543	728
641	544	727
642	545	726
643	545	725
644	546	724
645	547	723
646	548	722
647	548	721
648	549	720
649	549	718
650	550	717
651	550	716
652	551	714
653	551	713
654	552	712
655	553	711
656	553	710
657	554	708
658	554	707
659	555	706
660	556	706
661	561	710
662	562	710
663	563	709
664	564	708
665	564	707
666	565	706
667	566	705
668	566	704
669	567	703
670	568	702
671	569	701
672	569	699
673	569	698
674	570	697
675	570	695
676	571	694
677	571	693
678	572	691
679	572	690
680	573	689
681	573	688
682	574	687
683	574	685
684	575	684
685	575	683
686	576	682
687	577	681
688	578	680
689	578	679
690	579	678
691	580	677
692	580	676
693	581	675
694	581	673
695	582	672
696	583	671
697	583	670
698	584	669
699	584	668
700	585	666
701	585	665
702	586	664
703	586	663
704	587	662
705	587	661
706	588	659
707	588	658
708	589	657
709	589	655
710	590	654
711	591	654
712	592	653
713	593	653
714	593	651
715	594	650
716	595	650
717	595	648
718	596	647
719	596	646
720	597	645
721	600	646
722	600	645
723	601	644
724	602	644
725	603	643
726	603	641
727	604	640
728	605	640
729	606	639
730	606	638
731	607	637
732	608	636
733	608	635
734	610	635
735	611	635
736	612	634
737	613	633
738	615	633
739	616	632
740	616	631
741	617	630
742	617	629
743	618	628
744	618	627
745	619	626
746	619	624
747	620	623
748	620	622
749	621	621
750	622	620
751	622	619
752	623	618
753	624	617
754	624	616
755	625	615
756	625	614
757	626	613
758	627	612
759	627	611
760	628	610
761	628	609
762	629	608
763	630	606
764	630	605
765	631	604
766	631	603
767	632	602
768	633	601
769	633	601
770	634	599
771	635	599
772	635	598
773	636	596
774	636	595
775	637	594
776	637	593
777	638	592
778	639	591
779	639	590
780	641	590
781	642	589
782	642	588
783	643	587
784	643	586
785	644	585
786	645	584
787	645	583
788	646	582
789	650	584
790	651	583
791	651	582
792	652	581
793	652	580
794	653	579
795	653	578
796	654	577
797	655	576
798	655	575
799	656	574
800	656	572
801	656	571
802	657	570
803	657	569
804	658	568
805	659	568
806	660	567
807	661	566
808	661	565
809	662	564
810	662	563
811	663	561
812	663	560
813	663	559
814	664	558
815	664	557
816	664	555
817	665	554
818	665	553
819	666	552
820	666	551
821	666	549
822	667	549
823	668	548
824	668	547
825	668	545
826	669	544
827	669	543
828	670	542
829	670	541
830	671	540
831	671	539
832	672	538
833	672	537
834	672	535
835	673	534
836	673	533
837	674	532
838	674	531
839	675	530
840	676	529
841	677	529
842	677	528
843	678	527
844	678	525
845	678	524
846	679	523
847	679	522
848	680	521
849	680	520
850	681	519
851	681	518
852	682	517
853	682	516
854	683	515
855	684	514
856	684	513
857	685	512
858	685	511
859	686	510
860	686	509
861	687	508
862	687	507
863	688	506
864	688	505
865	688	504
866	689	503
867	689	502
868	690	501
869	691	500
870	691	499
871	692	498
872	692	497
873	692	496
874	693	495
875	693	494
876	694	493
877	694	492
878	695	491
879	695	490
880	696	489
881	697	488
882	698	487
883	698	486
884	699	485
885	699	484
886	700	484
887	701	483
888	701	482
889	702	481
890	703	480
891	703	479
892	704	478
893	704	477
894	705	476
895	705	475
896	705	474
897	706	473
898	706	472
899	707	471
900	707	470
901	707	469
902	708	468
903	708	467
904	708	466
905	709	465
906	709	463
907	710	462
908	710	461
909	710	460
910	711	459
911	711	458
912	712	457
913	712	457
914	713	456
915	714	455
916	714	454
917	715	453
918	716	452
919	716	451
920	717	450
921	717	449
922	718	448
923	718	448
924	719	447
925	719	446
926	720	445
927	721	445
928	723	444
929	723	443
930	724	442
931	725	442
932	726	441
933	726	440
934	727	439
935	728	438
936	728	437
937	729	436
938	730	436
939	730	435
940	731	434
941	731	433
942	732	432
943	733	431
944	733	430
945	733	429
946	734	428
947	734	427
948	736	427
949	737	426
950	737	425
951	738	424
952	738	423
953	739	423
954	739	422
955	740	421
956	740	420
957	740	419
958	741	418
959	741	417
960	741	416
961	742	415
962	742	414
963	743	413
964	744	412
965	744	411
966	745	410
967	745	409
968	746	408
969	747	408
970	747	407
971	748	406
972	748	405
973	749	404
974	749	403
975	750	402
976	750	401
977	751	400
978	751	400
979	752	399
980	752	398
981	753	397
982	753	396
983	754	395
984	754	394
985	755	393
986	755	392
987	756	391
988	756	390
989	756	389
990	757	389
991	757	388
992	758	387
993	758	386
994	759	385
995	760	384
996	760	383
997	761	382
998	761	381
999	762	381
1000	762	380
1001	763	379
1002	763	378
1003	764	377
1004	765	376
1005	765	375
1006	766	375
1007	766	374
1008	767	373
1009	767	372
1010	767	371
1011	768	370
1012	769	369
1013	769	368
1014	770	368
1015	770	367
1016	771	366
1017	771	365
1018	772	364
1019	772	363
1020	772	362
1021	773	361
1022	774	360
1023	774	360
1024	778	360
1025	778	359
1026	779	358
1027	780	358
1028	780	357
1029	781	356
1030	782	355
1031	782	354
1032	783	353
1033	783	353
1034	784	352
1035	784	351
1036	785	350
1037	785	349
1038	786	348
1039	786	347
1040	786	346
1041	787	346
1042	787	345
1043	788	344
1044	788	343
1045	789	342
1046	789	341
1047	790	340
1048	790	339
1049	790	338
1050	791	338
1051	791	337
1052	792	336
1053	793	335
1054	793	334
1055	793	333
1056	794	332
1057	794	332
1058	795	331
1059	796	330
1060	797	329
1061	798	329
1062	799	328
1063	799	327
1064	800	326
1065	800	326
1066	801	325
1067	801	324
1068	802	323
1069	802	322
1070	803	321
1071	803	320
1072	804	319
1073	804	319
1074	804	318
1075	805	317
1076	805	316
1077	806	315
1078	806	314
1079	806	313
1080	807	312
1081	808	312
1082	808	311
1083	809	310
1084	809	309
1085	810	308
1086	810	308
1087	811	307
1088	811	306
1089	812	305
1090	812	304
1091	813	303
1092	813	302
1093	813	302
1094	814	301
1095	814	300
1096	815	299
1097	815	298
1098	815	297
1099	816	296
1100	817	296
1101	818	295
1102	818	294
1103	819	293
1104	819	292
1105	820	292
1106	820	291
1107	821	290
1108	822	289
1109	822	288
1110	822	288
1111	823	287
1112	823	286
1113	824	285
1114	824	284
1115	825	284
1116	825	283
1117	826	282
1118	826	281
1119	827	280
1120	828	279
1121	828	279
1122	829	278
1123	829	277
1124	830	276
1125	830	275
1126	831	275
1127	831	274
1128	832	273
1129	832	272
1130	833	271
1131	833	271
1132	834	270
1133	835	269
1134	835	268
1135	835	267
1136	836	267
1137	836	266
1138	837	265
1139	837	264
1140	838	263
1141	838	263
1142	839	262
1143	839	261
1144	840	260
1145	840	259
1146	843	259
1147	843	258
1148	844	257
1149	844	257
1150	845	256
1151	846	255
1152	846	254
1153	847	254
1154	847	253
1155	848	252
1156	849	251
1157	849	251
1158	851	250
1159	851	249
1160	851	248
1161	852	247
1162	853	247
1163	853	246
1164	854	245
1165	854	244
1166	854	243
1167	855	243
1168	855	242
1169	856	241
1170	857	241
1171	858	240
1172	858	239
1173	859	238
1174	860	237
1175	860	237
1176	861	236
1177	861	235
1178	862	234
1179	862	233
1180	863	233
1181	863	232
1182	864	231
1183	864	230
1184	865	230
1185	865	229
1186	866	228
1187	866	227
1188	867	226
1189	867	226
1190	868	225
1191	871	225
1192	871	224
1193	872	223
1194	872	222
1195	873	222
1196	874	221
1197	875	220
1198	876	219
1199	876	219
1200	877	218
1201	877	217
1202	878	216
1203	878	216
1204	879	215
1205	880	214
1206	880	213
1207	881	213
1208	882	212
1209	882	211
1210	883	210
1211	883	209
1212	883	209
1213	884	208
1214	884	207
1215	885	206
1216	885	206
1217	886	205
1218	887	204
1219	888	203
1220	889	203
1221	889	202
1222	890	201
1223	890	200
1224	890	200
1225	891	199
1226	891	198
1227	892	197
1228	892	196
1229	893	196
1230	893	195
1231	893	194
1232	894	193
1233	894	192
1234	895	192
1235	896	191
1236	896	190
1237	897	189
1238	897	189
1239	898	188
1240	898	187
1241	899	186
1242	899	186
1243	900	185
1244	900	184
1245	901	183
1246	901	182
1247	902	182
1248	902	181
1249	904	180
1250	905	180
1251	906	179
1252	906	178
1253	907	178
1254	908	177
1255	908	176
1256	909	175
1257	909	175
1258	910	174
1259	916	174
1260	916	173
1261	917	173
1262	918	172
1263	918	171
1264	919	170
1265	922	170
1266	923	169
1267	923	169
1268	924	168
1269	925	167
1270	925	166
1271	926	166
1272	927	165
1273	928	164
1274	929	163
1275	929	163
1276	930	162
1277	931	161
1278	932	161
1279	933	160
1280	933	159
1281	934	158
1282	934	158
1283	935	157
1284	935	156
1285	936	155
1286	936	155
1287	937	154
1288	938	153
1289	938	152
1290	939	152
1291	940	151
1292	940	150
1293	941	149
1294	941	149
1295	942	148
1296	943	147
1297	945	147
1298	946	146
1299	948	145
1300	948	145
1301	949	144
1302	950	143
1303	951	143
1304	951	142
1305	952	141
1306	953	140
1307	953	140
1308	954	139
1309	955	138
1310	955	137
1311	956	136
1312	956	136
1313	956	135
1314	957	134
1315	957	133
1316	958	133
1317	959	132
1318	960	131
1319	962	131
1320	963	130
1321	964	129
1322	965	129
1323	966	128
1324	967	127
1325	968	127
1326	968	126
1327	969	125
1328	969	124
1329	970	124
1330	970	123
1331	971	122
1332	971	121
1333	972	121
1334	973	120
1335	973	119
1336	974	118
1337	974	118
1338	975	117
1339	976	116
1340	977	115
1341	978	115
1342	979	114
1343	980	113
1344	982	113
1345	983	112
1346	984	111
1347	985	111
1348	986	110
1349	987	109
1350	987	108
1351	988	108
1352	990	107
1353	991	106
1354	991	106
1355	992	105
1356	993	104
1357	993	103
1358	994	103
1359	995	102
1360	995	101
1361	996	100
1362	997	100
1363	997	99
1364	998	98
1365	999	97
1366	999	97
1367	1000	96
1368	1000	95
1369	1001	95
1370	1002	94
1371	1003	93
1372	1004	92
1373	1004	92
1374	1005	91
1375	1006	90
1376	1006	89
1377	1007	89
1378	1009	88
1379	1009	87
1380	1010	87
1381	1011	86
1382	1012	85
1383	1013	84
1384	1014	84
1385	1014	83
1386	1015	82
1387	1016	81
1388	1016	81
1389	1017	80
1390	1017	79
1391	1018	78
1392	1019	78
1393	1019	77
1394	1020	76
1395	1021	76
1396	1022	75
1397	1022	74
1398	1023	73
1399	1024	73
1400	1025	72
1401	1025	71
1402	1026	70
1403	1030	70
1404	1031	69
1405	1032	69
1406	1032	68
1407	1033	67
1408	1034	66
1409	1035	66
1410	1035	65
1411	1036	64
1412	1037	63
1413	1038	63
1414	1039	62
1415	1040	61
1416	1040	60
1417	1041	60
1418	1041	59
1419	1042	58
1420	1043	57
1421	1043	57
1422	1045	56
1423	1045	55
1424	1051	55
1425	1055	54
1426	1056	54
1427	1057	53
1428	1058	52
1429	1058	51
1430	1059	51
1431	1061	50
1432	1062	49
1433	1063	48
1434	1063	48
1435	1064	47
1436	1065	46
1437	1066	45
1438	1066	45
1439	1067	44
1440	1068	43
1441	1068	42
1442	1069	42
1443	1069	41
1444	1071	40
1445	1071	40
1446	1072	39
1447	1073	38
1448	1074	37
1449	1077	37
1450	1078	36
1451	1079	35
1452	1079	34
1453	1080	34
1454	1080	33
1455	1081	32
1456	1081	31
1457	1082	31
1458	1083	30
1459	1083	29
1460	1084	28
1461	1084	28
1462	1085	27
1463	1085	26
1464	1086	25
1465	1087	25
1466	1087	24
1467	1088	23
1468	1089	22
1469	1090	22
1470	1091	21
1471	1091	20
1472	1092	20
1473	1094	19
1474	1095	18
1475	1095	17
1476	1096	17
1477	1096	16
1478	1097	15
1479	1097	14
1480	1098	14
1481	1099	13
1482	1100	12
1483	1100	11
1484	1101	11
1485	1101	10
1486	1102	9
1487	1103	8
1488	1104	8
1489	1104	7
1490	1106	6
1491	1106	5
1492	1107	5
1493	1108	4
1494	1108	3
1495	1109	2
1496	1109	2
1497	1110	1
1498	1111	0
1499	1111	0
